ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
219,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript",,10+ years
220,Agree,"Easier to read. Also, if methods are named by what they do, then code is self documenting.",Agree,Makes code self documenting. The intention is clear.,Agree,Easier to read.,Strongly Agree,Makes it easier for other programmers to understand the methods intention at a glance.,Strongly Agree,easier to understand. better communication with other programmers.,15,"Actually, I don’t care how long a method name is, as long as it’s easy to read at a reasonable length; only as long as it needs to be to get a clear point across.",Agree,,Agree,,Agree,,Agree,,Make it easy to read for others. Make the intention clear. ,Strict,,"Python,C,JavaScript,Other language? Please specify below.",Go,10+ years
221,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,10+ years
222,Strongly Agree,,Strongly Disagree,,Agree,,Agree,,Agree,,3,,Agree,,Disagree,,Strongly Agree,,Agree,,,Strict,Java (though it has diverged from the old written coding conventions document),Java,,10+ years
223,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,"C++,Python,Java,C,JavaScript",,10+ years
224,Strongly Agree,,Disagree,,Disagree,,Disagree,,Disagree,,5,,Disagree,,Strongly Disagree,,Agree,,Agree,,,Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Clojure, Common Lisp",10+ years
225,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Go, Rust",10+ years
226,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Agree,,Agree,,,No Standards,,C#,,Less than a year
227,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,C#,JavaScript",,10+ years
228,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Not Strict,,"C#,JavaScript",,10+ years
229,Strongly Agree,,Agree,,Disagree,,Agree,,Agree,,5,,Strongly Agree,,Disagree,,Agree,,Disagree,,,No Standards,,"Python,Java,C",,10+ years
230,Strongly Agree,"Use the convention associated with the language. Java uses camelCase(), Python uses snake_case().",Agree,,Strongly Agree,,Agree,,Agree,,4,,Disagree,There may be some very specific contexts where a commonly known idiom succinctly describes what the method does.,Agree,,Strongly Agree,,Disagree,,,No Standards,,"Python,Java,JavaScript",,3 - 4 years
231,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,4,,Agree,,Disagree,,Agree,,Strongly Agree,,,Strict,,"Python,Java,JavaScript",,10+ years
232,Strongly Agree,,Disagree,,Disagree,,Agree,,Agree,,4,,Disagree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","ASM
GO
Usual scripting suspects
",10+ years
233,Strongly Agree,Should be consistent and descriptive ,Agree,,Agree,,Agree,,Agree,,5,"Name shouldn’t be longer than the code block, that’s why there’s comments ",Strongly Agree,,Agree,,Agree,,Disagree,When debugging it’s sometimes easier then searching through code to see what the difference may be or using fully qualified naming,,Slightly Strict,"Camel case in general capitalization slightly different between java and c#/c++, c code uses underscores to maintain consistency with old code","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Perl,10+ years
234,Strongly Agree,,Disagree,asSomething() / toSomething() is fine. as/to are enough to communicate the action,Strongly Agree,,Disagree,No abbrevation at all.  getStr/getAlgo aren't useful names. pyConnection/db_connection could instead use OOP: db.connect(),Agree,,15,"Auto-complete and types do the job, so long names have no real downside. No reason to limit names",Agree,Neutral,Agree,,Strongly Agree,,Disagree,Cross-platform products,,Strict,,"Java,C#,JavaScript,Other language? Please specify below.",Dart,5 - 9 years
235,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,"Must be camel case, should not include the name of the class it's in, should be descriptive.","Python,Java,C,JavaScript",,5 - 9 years
236,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,Maybe abbreviations should be avoided whatever,Strongly Agree,,4,Excepted for unit tests,Agree,,Agree,,Strongly Agree,,Agree,,Don’t leak implementation details into method name.,Very Strict,"Depends on clients, sometimes there isn't any standard, sometimes they are strictly enforced","C#,JavaScript,Other language? Please specify below.","Go
Scala",10+ years
237,Strongly Agree,,Agree,"Do ""isX"" bool returning methods count as having a verb?",Strongly Agree,,Strongly Agree,,,,4,,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,"Methods phrased as questions are useful for encapsulating the intent of a condition or multiple conditions. They should be start with words like if, can, or should.",Strict,"Automatic linting and code style checks, but naming and such is not enforced","C#,JavaScript,Other language? Please specify below.","Golang, PHP",10+ years
238,Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,4,,Strongly Agree,,Agree,,Agree,,Agree,,,Not Strict,,"C++,Java,C,C#,JavaScript",,10+ years
239,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,10,,Agree,,Strongly Agree,,Strongly Agree,,,,,Strict,,"Java,JavaScript,Other language? Please specify below.",Swift,5 - 9 years
240,Strongly Agree,,Agree,There are plenty of exceptions to this though,Strongly Agree,,Strongly Agree,Abbreviations should be avoided when possible,Agree,,4,,Strongly Agree,,Disagree,"It is helpful when alphabetically sorted places related methods together, when most important/significant terms appear early in the name",Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Many others,10+ years
241,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C,C#,JavaScript",,5 - 9 years
242,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,6,,Agree,,Agree,,Agree,,Agree,,,Strict,,"Java,JavaScript",,10+ years
243,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,10,,Disagree,Idioms useful to call out workarounds and hacks methods ,Disagree,,Agree,,Strongly Disagree,,,Strict,,"Java,JavaScript,Other language? Please specify below.",Go,10+ years
244,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Disagree,,Disagree,can break sorting,Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,10+ years
245,Strongly Agree,,Agree,"Can imagine some reasonable exceptions, but in general this should be the convention",Strongly Agree,,Agree,"The ""standard"" is fluid. It is not uncommon for a particular area of code to introduce its own terminology for internal concepts, or for a framework or language to introduce abbreviations thus establishing a standard. Both ""repr"" and ""proto"" are examples of the latter, which I would consider as conforming to this rule. ",Strongly Agree,"Here too, as the context becomes more focused and specific, there is more room for acronyms that make sense it in that context. This is more common for local variables, but could also apply to private methods. ",6,,Agree,,Agree,"Sometimes other conventions trump this: ""onReceiveFile"", ""processItemSafe"", etc. ",Strongly Agree,,Strongly Agree,,,Strict,Standard naming rules for C# and Python. ,"Python,Java,C#,JavaScript",,10+ years
246,Strongly Agree,The exact option depends on language,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,Better to be long than unclear,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,10+ years
247,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,JavaScript,Other language? Please specify below.","Golang, PHP",5 - 9 years
248,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C#",,3 - 4 years
249,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,camelCase,"C++,Java,C,C#,JavaScript",,10+ years
250,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,JavaScript",,5 - 9 years
251,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"Java,C#,JavaScript",,10+ years
252,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,5,,Disagree,,Disagree,,Agree,,Disagree,,,Strict,,"Python,JavaScript",,5 - 9 years
253,Strongly Agree,,Disagree,May also describe a property of the object. E.g: size(),Strongly Agree,,Strongly Agree,Bad examples. Standard following are too terse. Proto is always prototype. Protoc is for protocol.,Strongly Agree,,7,,Strongly Agree,,Disagree,Bad example. Register is both noun and verb.,Strongly Agree,,Agree,,Consistency and coherency,Slightly Strict,Standard Java conventions,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, Python, Typescript, Go, Kotlin, Bash",10+ years
254,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,Pascal case,"C++,C,C#",,10+ years
255,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Python,Java,C,Other language? Please specify below.","Ruby, Kotlin",10+ years
256,Strongly Agree,,Agree,Getter may not contain verb,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"C++,Python,C,JavaScript",,10+ years
257,Strongly Agree,,Agree,,Strongly Agree,,,,Agree,,5,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"Python,Java,C#,JavaScript",,10+ years
258,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"JavaScript,Other language? Please specify below.",PHP,10+ years
259,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,6,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C#,JavaScript",,10+ years
260,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"C++,C,C#,Other language? Please specify below.",Delphi,10+ years
261,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,5,,Strongly Agree,,Agree,,Agree,,Agree,,,Slightly Strict,Google style,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",Go,10+ years
262,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,In my opinion length can be as long as it makes the methods action clear,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"Java,Other language? Please specify below.","Kotlin, Typescript, Python",3 - 4 years
263,Strongly Agree,,Agree,,Strongly Agree,,Agree,It’s ok to use uncommon abbreviations if they are used throughout a codebase a lot,Strongly Agree,,6,,Strongly Agree,,Agree,One place where it might make sense to disagree: a common prefix used to group methods together,Strongly Agree,,Strongly Agree,,,Strict,Google,"C++,Python,JavaScript,Other language? Please specify below.",Rust,5 - 9 years
264,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,6,,Agree,,Agree,,Agree,,Disagree,,,Not Strict,,"Python,Java,JavaScript",,10+ years
265,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C#",,10+ years
266,Strongly Agree,Mistakes will be made and should not be corrected after some time,Agree,,Agree,,Agree,,Agree,,5,,Disagree,,Agree,,Agree,,Agree,,,Strict,underscore_naming,"Python,Java,C,C#,JavaScript,Other language? Please specify below.","Pascal, Ruby, Php, Shell",10+ years
267,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,Any accronims for a project should be defined in a document,Strongly Agree,,7,,Strongly Agree,,Disagree,Prefer to follow but is generally but will sacrifice this first if not all rules can be followed,Strongly Agree,Single letters can easily be misinterpreted,Agree,I program in c primary but I guess it could cause confusion,,Strict,"Lower case except defines, underscore space, as meaningful as possible, no fixed rules per say as all rules not possible to follow at the same time","C++,C,C#",,10+ years
268,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Disagree,,8,,Agree,,Disagree,,Agree,,Disagree,,,No Standards,,"Python,C#,JavaScript,Other language? Please specify below.",PHP,10+ years
269,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C#,JavaScript,Other language? Please specify below.",TypeScript,10+ years
270,Strongly Agree,I’d love a linter or static code analyzed that cloud catch this,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,Id avoid achronyms if possible ,15,,Strongly Agree,,Disagree,"There may be occasions where, for sake of grouping and ordering one names the methods hierarchically.",Strongly Agree,,Strongly Agree,,"keep the same voice when naming functions (aka passive, active). Consistency is a must",Strict,we’re getting there,"C++,Python,C",,10+ years
271,Agree,,Agree,,Strongly Agree,,Agree,,,,5,,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,,Strict,,"C++,Python,C#",,5 - 9 years
272,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Disagree,,Agree,,Disagree,,,Strict,,"Python,Java,C,JavaScript,Other language? Please specify below.","Go, Lua, Rust",10+ years
273,Strongly Agree,Our eyes are trained to catch the styles above while reading. changing that would take some time without any advantage ,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,C#",,5 - 9 years
274,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,10,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript",,10+ years
275,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,4,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,10+ years
276,Strongly Agree,,Strongly Agree,,Agree,With the one small caveat that contractions OCCASIONALLY help keep name lengths under control ,Strongly Agree,,Strongly Agree,,6,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,words in method names should always be spelled correctly (for words that have an objectively correct spelling) or consistently (in the rare cases where an objectively correct spelling does not exist),Slightly Strict,My current workplace has weak governance supporting a consensus style reasonably close to all the assertions from this survey. My personal style (and PR comments) adheres almost precisely. ,Other language? Please specify below.,Swift,10+ years
277,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,Slightly Strict,,"Python,C#,JavaScript",,3 - 4 years
278,Strongly Agree,,Agree,,Agree,,Agree,,Disagree,,5,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
279,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,8,,Disagree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C,JavaScript,Other language? Please specify below.",Php,10+ years
280,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#",,10+ years
281,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript,Other language? Please specify below.",Go,10+ years
282,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Disagree,,Strongly Agree,,Disagree,,,Slightly Strict,,"C#,JavaScript",,10+ years
283,Strongly Agree,Depending on language I may suggest TitleCase,Strongly Agree,Methods are instructions,Strongly Agree,Numbers indicate poor design,Strongly Disagree,"Assume any new, non-tribal knowledged person would read the code",Strongly Disagree,No Acronyms - find a better name,5,,Strongly Agree,,Strongly Agree,The method is an instruction,Strongly Agree,,,,Implement a style cop ;),Strict,Resharper and style cop,"Python,C#,JavaScript",,10+ years
284,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,"Custom c and c++, based on k and r","C++,Python,Java,C,C#,JavaScript",,10+ years
285,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One should use the standard that is the ”default” for the language or platform instead of developer/team/project/company -specific standards,Slightly Strict,,"Python,C#,Other language? Please specify below.",VB.NET,10+ years
286,Agree,,Disagree,,Agree,,Agree,,Agree,,5,,Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,"We use lower_case_names_with_underscores in certain modules, and CamelCaseMethodsStartingWithCapitalLetters in others","C++,Python,Java,C,C#,JavaScript",,10+ years
287,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,"No usage of return types, e.g. getWidgetList is wrong, getWidgets is correct.",Slightly Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Pascal
Prolog
BASH
Perl",10+ years
288,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
289,Strongly Agree,,Agree,,Strongly Agree,If I'm unsure of the name up front I'll typically use a throwaway term like bob() and then rename once calling it to guage the most helpful name,Disagree,Abbreviations should generally be avoided,Agree,,6,"No real limit, especially in tests. I'm looking to convey relevant information and that should be done in a concise way as possible but I'm not going to limit either. Typically methods will have up to 5 or 6 words though",Agree,,Agree,,Strongly Agree,,Agree,,In unit test method naming we may choose to use underscores to separate camel case sentences to indicate a distinction between action and result when the test name is long,No Standards,"The closest name would be the ""common sense"" approach. We don't have specific naming conventions. Instead we expect the method to describe the purpose or function well as a form of documentation. If the name of the method doesn't match the purpose in the context it is used then it needs renamed","C++,Python,Java,C,JavaScript,Other language? Please specify below.","Groovy, perl",10+ years
290,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript",,5 - 9 years
291,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,"Shorter is better, but a long method name usually means the method is doing too much.",Strongly Agree,,Agree,The counter-example is grammatically correct as a noun phrase,Strongly Agree,,Strongly Agree,,"Clear communication is what is important. Consistency, brevity, and all other standards serve that.",Slightly Strict,Whatever is idiomatic in the language,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",ruby,10+ years
292,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,C,C#,JavaScript",,10+ years
293,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Not Strict,,"C++,Python,C,C#",,10+ years
294,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,"In general, methods should be named to say what they do in the simplest terms.  Source code is for people, not compilers.r  code ",Slightly Strict,Standard C# conventions as per MS,"C++,Python,Java,C,C#,JavaScript",,10+ years
295,Strongly Agree,,Agree,"Strongly agree, except for in Go, where it’s considered idiomatic to omit the get prefix from getters (e.g. value() rather than getValue())",Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Disagree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Go, PHP, VB.NET, Ruby",10+ years
296,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java",,10+ years
297,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Agree,,Agree,,,Slightly Strict,,"C++,Java,C",,10+ years
298,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,Java,C,JavaScript",,5 - 9 years
299,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,PascalCaseVerbNoun,"C++,Java,C,C#,JavaScript",,5 - 9 years
300,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,10,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,,Not Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
301,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,5 - 9 years
302,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,there is no reason to use abbreviation at all,Strongly Agree,,0,there is no limit on the name since the point is to describe the action,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,those prefix should be defined by the object or namespace,natural language flow; it should be easy to read the sequence of methods as if reading a sentence,Strict,"camelCase for instances or methods, PascalCase for classes, namespaces, statics","C++,Java,C#,JavaScript,Other language? Please specify below.",PHP,10+ years
303,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,C#,Other language? Please specify below.","Go
Perl
",10+ years
304,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,This is flexible. ,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,You haven’t touched on intent. Method names should clearly communicate what they will do. Don’t call a method GetNewWidget if it destroys a widget. ,No Standards,"C# - Pascal for public, Camel for private. ",C#,,10+ years
305,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,Other language? Please specify below.",R,10+ years
306,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,The should accurately and completely describe what the method does. This is more important than sticking to the word limit (although too many words implies the method does too much!),No Standards,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Kotlin, Swift, Typsescript",10+ years
307,Strongly Agree,,Agree,"setters with builders are sometimes better with only the name of the property, e.g. taxPercent(value); but besides that exception, I think it must be a verb",Strongly Agree,I think domain driven design is a good driver for using domain names or at least taken from stakeholders context,Agree,"If all stakeholders or team members, even the new ones, can engage fast and easily with this standar maybe. But I don't have a strong position because abbreviations are ambiguous sometimes",Strongly Agree,,7,"There is no magic number, but 7 looks like a good one :)",Strongly Agree,"Open source is a global effort, in companies some of the projects are off shores, this could create a bad mix for communication",Strongly Agree,Readability!,Strongly Agree,,Strongly Agree,oop and even functional programming could have a scope (parent object / parent function) ,no,No Standards,"verbs, try to have short and descriptive names, camelCase","Java,JavaScript,Other language? Please specify below.","PHP, VB",10+ years
308,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,C,C#",,10+ years
309,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,6,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,C#,JavaScript",,10+ years
310,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"No digits in function names, unless the language has fixed arity.",Strict,"Python PEP8, and intelligibility of function names.","Python,JavaScript",,5 - 9 years
311,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,3,,Agree,,Strongly Agree,,Disagree,,Agree,,,No Standards,,"Java,C#",,10+ years
312,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,abbreviations that leave out vowels should not be used,Slightly Strict,"we mostly follow format standards, which apply to the naming as well (i.e. name is too long)","C++,C,Other language? Please specify below.","Rust, Swift",10+ years
